group,group_full,annual_change,monthly_change,category_type,group_order,rank_by_pressure,dot,x,y,global_y,dot_value_pp
Housing,Housing,6.51,0.23,essential/regulated,5,3,33,14,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,34,15,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,35,16,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,36,17,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,37,0,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,38,1,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,39,2,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,40,3,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,41,4,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,42,5,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,43,6,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,44,7,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,45,8,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,46,9,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,47,10,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,48,11,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,49,12,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,50,13,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,51,14,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,52,15,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,53,16,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,54,17,2,14,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,55,0,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,56,1,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,57,2,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,58,3,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,59,4,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,60,5,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,61,6,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,62,7,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,63,8,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,64,9,3,15,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,65,10,3,15,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,1,0,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,2,1,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,3,2,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,4,3,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,5,4,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,6,5,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,7,6,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,8,7,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,9,8,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,10,9,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,11,10,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,12,11,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,13,12,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,14,13,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,15,14,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,16,15,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,17,16,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,18,17,0,18,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,19,0,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,20,1,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,21,2,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,22,3,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,23,4,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,24,5,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,25,6,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,26,7,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,27,8,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,28,9,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,29,10,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,30,11,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,31,12,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,32,13,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,33,14,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,34,15,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,35,16,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,36,17,1,19,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,37,0,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,38,1,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,39,2,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,40,3,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,41,4,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,42,5,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,43,6,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,44,7,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,45,8,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,46,9,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,47,10,2,20,0.1
Education,Education,4.79,0.04,essential/regulated,11,4,48,11,2,20,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,1,0,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,2,1,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,3,2,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,4,3,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,5,4,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,6,5,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,7,6,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,8,7,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,9,8,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,10,9,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,11,10,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,12,11,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,13,12,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,14,13,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,15,14,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,16,15,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,17,16,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,18,17,0,24,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,19,0,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,20,1,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,21,2,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,22,3,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,23,4,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,24,5,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,25,6,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,26,7,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,27,8,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,28,9,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,29,10,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,30,11,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,31,12,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,32,13,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,33,14,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,34,15,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,35,16,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,36,17,1,25,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,37,0,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,38,1,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,39,2,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,40,3,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,41,4,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,42,5,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,43,6,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,44,7,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,45,8,2,26,0.1
All groups CPI,All groups CPI,4.57,1.12,benchmark,1,5,46,9,2,26,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,1,0,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,2,1,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,3,2,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,4,3,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,5,4,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,6,5,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,7,6,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,8,7,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,9,8,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,10,9,0,30,0.1
Alcohol & tobacco,Alcohol and tobacco,4.43,0.84,discretionary/regulated,3,6,11,10,0,30,0.1
